Department,Course Code,Title,Cal-GETC,IGETC,Semester Units,UC Areas
African-American Studies,AFRAM 1,Introduction to African-American Studies,"4, 6","4C, 7",3.00,UC-B
African-American Studies,AFRAM 31,African American History: 1865-1945,,,3.00,UC-B
American Sign Language,ASL 50,American Sign Language I,,6A,4.00,
American Sign Language,ASL 50A,American Sign Language I (Module A),,6A,2.00,
American Sign Language,ASL 51,American Sign Language II,,6A,4.00,
American Sign Language,ASL 51A,American Sign Language II (Module A),,6A,2.00,
American Sign Language,ASL 51B,American Sign Language II (Module B),,6A,2.00,
American Sign Language,ASL 52,American Sign Language III,,6A,4.00,
American Sign Language,ASL 52A,American Sign Language III (Module A),,6A,2.00,
American Sign Language,ASL 52B,American Sign Language III (Module B),,6A,2.00,
American Sign Language,ASL 53,American Sign Language IV,,6A,4.00,
American Sign Language,ASL 53A,American Sign Language IV (Module A),,6A,2.00,
American Sign Language,ASL 53B,American Sign Language IV (Module B),,6A,2.00,
American Sign Language,ASL 55A,History and Culture of Deaf People in America I,4,4F,3.00,UC-B
American Sign Language,ASL 55B,History and Culture of Deaf People in America II (taught in ASL),,,3.00,UC-H
American Sign Language,ASL 57,Structure of American Sign Language,,,3.00,
Anthropology,ANTHR 1,Introduction to Physical Anthropology,5B,5B,3.00,UC-S
Anthropology,ANTHR 1L,Physical Anthropology Lab,5C,5C,1.00,
Anthropology,ANTHR 2,Introduction to Archaeology and Prehistory,4,4A,3.00,UC-B
Anthropology,ANTHR 3,Introduction to Social and Cultural Anthropology,4,4A,3.00,UC-B
Anthropology,ANTHR 13,Urban Anthropology,4,4A,3.00,UC-B
Anthropology,ANTHR 18,Introduction to Anthropological Linguistics,4,4A,3.00,UC-B
Anthropology,ANTHR 55,Native American Cultures,4,4C,3.00,UC-B
Art,ART 1,Introduction to Art History,3A,3A,3.00,UC-H
Art,ART 2,History of Western Art: Prehistory through the Middle Ages,3A,3A,3.00,UC-H
Art,ART 3,History of Western Art: Renaissance to Contemporary Art,3A,3A,3.00,UC-H
Art,ART 4,History of Modern Art (1800 to Present),3A,3A,3.00,UC-H
Art,ART 13,History of Women in Art History,3A,3A,3.00,UC-H
Art,ART 16,Introduction to Islamic Art,3A,3A,3.00,UC-H
Art,ART 18,Critique and the Creative Process,,,3.00,
Art,ART 20,Beginning Drawing and Composition,,,3.00,
Art,ART 22,Intermediate Drawing & Composition,,,3.00,
Art,ART 24,Special Projects: Drawing,,,2.00 ea,
Art,ART 27,Intermediate Figure Drawing and Composition,,,3.00,
Art,ART 29,Special Projects: Figure Drawing,,,2.00 ea,
Art,ART 30,Beginning Figure Drawing: Anatomy,,,2.00,
Art,ART 31,Continuing Figure Drawing: Anatomy,,,2.00,
Art,ART 46,2-D Visual Design,,,3.00,
Art,ART 47,3-D Visual Design,,,3.00,
Art,ART 50,Beginning Painting,,,3.00,
Art,ART 52,Intermediate Painting,,,3.00,
Art,ART 54,Special Projects: Painting,,,2.00 ea,
Art,ART 119,Figure Painting in Context,,,3.00,
Art,ART 133A,Mural Design and Creation I,,,3.00,
Art,ART 133B,Mural Design and Creation II,,,4.00,
Art,ART 137,Beginning Figure Drawing and Composition,,,3.00,
Art,ART 182,Introduction to Visual Culture,"3A, 3B","3A, 3B",3.00,UC-H
Asian and Asian-American Studies,ASAME 11,Introduction to Asian American and Pacific Islander Studies,"4, 6","4, 7",3.00,UC-B
Astronomy,ASTR 10,Descriptive Astronomy,5A,5A,3.00,UC-S
